Date,Country,total_cases,total_deaths
2019-12-31,Brazil,0.0,0.0
2020-01-01,Brazil,0.0,0.0
2020-01-02,Brazil,0.0,0.0
2020-01-03,Brazil,0.0,0.0
2020-01-04,Brazil,0.0,0.0
2020-01-05,Brazil,0.0,0.0
2020-01-06,Brazil,0.0,0.0
2020-01-07,Brazil,0.0,0.0
2020-01-08,Brazil,0.0,0.0
2020-01-09,Brazil,0.0,0.0
2020-01-10,Brazil,0.0,0.0
2020-01-11,Brazil,0.0,0.0
2020-01-12,Brazil,0.0,0.0
2020-01-13,Brazil,0.0,0.0
2020-01-14,Brazil,0.0,0.0
2020-01-15,Brazil,0.0,0.0
2020-01-16,Brazil,0.0,0.0
2020-01-17,Brazil,0.0,0.0
2020-01-18,Brazil,0.0,0.0
2020-01-19,Brazil,0.0,0.0
2020-01-20,Brazil,0.0,0.0
2020-01-21,Brazil,0.0,0.0
2020-01-22,Brazil,0.0,0.0
2020-01-23,Brazil,0.0,0.0
2020-01-24,Brazil,0.0,0.0
2020-01-25,Brazil,0.0,0.0
2020-01-26,Brazil,0.0,0.0
2020-01-27,Brazil,0.0,0.0
2020-01-28,Brazil,0.0,0.0
2020-01-29,Brazil,0.0,0.0
2020-01-30,Brazil,0.0,0.0
2020-01-31,Brazil,0.0,0.0
2020-02-01,Brazil,0.0,0.0
2020-02-02,Brazil,0.0,0.0
2020-02-03,Brazil,0.0,0.0
2020-02-04,Brazil,0.0,0.0
2020-02-05,Brazil,0.0,0.0
2020-02-06,Brazil,0.0,0.0
2020-02-07,Brazil,0.0,0.0
2020-02-08,Brazil,0.0,0.0
2020-02-09,Brazil,0.0,0.0
2020-02-10,Brazil,0.0,0.0
2020-02-11,Brazil,0.0,0.0
2020-02-12,Brazil,0.0,0.0
2020-02-13,Brazil,0.0,0.0
2020-02-14,Brazil,0.0,0.0
2020-02-15,Brazil,0.0,0.0
2020-02-16,Brazil,0.0,0.0
2020-02-17,Brazil,0.0,0.0
2020-02-18,Brazil,0.0,0.0
2020-02-19,Brazil,0.0,0.0
2020-02-20,Brazil,0.0,0.0
2020-02-21,Brazil,0.0,0.0
2020-02-22,Brazil,0.0,0.0
2020-02-23,Brazil,0.0,0.0
2020-02-24,Brazil,0.0,0.0
2020-02-25,Brazil,0.0,0.0
2020-02-26,Brazil,1.0,0.0
2020-02-27,Brazil,1.0,0.0
2020-02-28,Brazil,1.0,0.0
2020-02-29,Brazil,1.0,0.0
2020-03-01,Brazil,2.0,0.0
2020-03-02,Brazil,2.0,0.0
2020-03-03,Brazil,2.0,0.0
2020-03-04,Brazil,2.0,0.0
2020-03-05,Brazil,3.0,0.0
2020-03-06,Brazil,8.0,0.0
2020-03-07,Brazil,13.0,0.0
2020-03-08,Brazil,13.0,0.0
2020-03-09,Brazil,25.0,0.0
2020-03-10,Brazil,25.0,0.0
2020-03-11,Brazil,34.0,0.0
2020-03-12,Brazil,52.0,0.0
2020-03-13,Brazil,77.0,0.0
2020-03-14,Brazil,98.0,0.0
2020-03-15,Brazil,121.0,0.0
2020-03-16,Brazil,200.0,0.0
2020-03-17,Brazil,234.0,0.0
2020-03-18,Brazil,291.0,1.0
2020-03-19,Brazil,428.0,4.0
2020-03-20,Brazil,621.0,6.0
2020-03-21,Brazil,904.0,11.0
2020-03-22,Brazil,1128.0,18.0
2020-03-23,Brazil,1546.0,25.0
2020-03-24,Brazil,1891.0,34.0
2020-03-25,Brazil,2201.0,46.0
2020-03-26,Brazil,2433.0,57.0
2020-03-27,Brazil,2915.0,77.0
2020-03-28,Brazil,3417.0,92.0
2020-03-29,Brazil,3904.0,114.0
2020-03-30,Brazil,4256.0,136.0
2020-03-31,Brazil,4579.0,159.0
2020-04-01,Brazil,5717.0,201.0
2020-04-02,Brazil,6836.0,241.0
2020-04-03,Brazil,7910.0,299.0
2020-04-04,Brazil,9056.0,359.0
2020-04-05,Brazil,10278.0,432.0
2020-04-06,Brazil,11130.0,486.0
2020-04-07,Brazil,12056.0,553.0
2020-04-08,Brazil,13717.0,667.0
2020-04-09,Brazil,15927.0,800.0
2020-04-10,Brazil,17857.0,941.0
2020-04-11,Brazil,19638.0,1056.0
2020-04-12,Brazil,20727.0,1124.0
2020-04-13,Brazil,22169.0,1223.0
2020-04-14,Brazil,23430.0,1328.0
2020-04-15,Brazil,25262.0,1532.0
2020-04-16,Brazil,28320.0,1736.0
2020-04-17,Brazil,30425.0,1924.0
2020-04-18,Brazil,33682.0,2141.0
2020-04-19,Brazil,36599.0,2347.0
2020-04-20,Brazil,38654.0,2462.0
